ProveedorID,Nombre,CUIT,Direccion,Telefono,Email,RubroPrincipal,CondicionPago,Activo
PROV-001,MOLINOS RÍO DE LA PLATA S.A.,30-12345678-9,"Av. Corrientes 1234, CABA",11-4000-1000,ventas@molinos.com.ar,Alimentos,30 días,True
PROV-002,LACTEOS MASTELLONE HNOS. S.A.,30-23456789-0,"Ruta 8 Km 38, Gral. Rodríguez",11-4000-2000,compras@mastellone.com,Lácteos,45 días,True
PROV-003,UNILEVER ARGENTINA S.A.,30-34567890-1,"Av. del Libertador 4980, CABA",11-4000-3000,info@unilever.com,Limpieza,60 días,True
PROV-004,COCA-COLA ARGENTINA S.A.,30-45678901-2,"Av. Dr. Honorio Pueyrredón 1275, CABA",11-4000-4000,ventas@coca-cola.com.ar,Bebidas,30 días,True
PROV-005,CERVECERÍA QUILMES S.A.I.C.A.,30-56789012-3,"Av. Gral. Hornos 255, Quilmes",11-4000-5000,distribucion@quilmes.com.ar,Bebidas,30 días,True
PROV-006,ARCOR S.A.I.C.,30-67890123-4,"Av. San Martín 4550, Arroyito",11-4000-6000,ventas@arcor.com,Alimentos,45 días,True
PROV-007,BAGLEY S.A.,30-78901234-5,"Av. Belgrano 645, CABA",11-4000-7000,compras@bagley.com.ar,Alimentos,30 días,True
PROV-008,P&G ARGENTINA S.R.L.,30-89012345-6,"Av. Leandro N. Alem 855, CABA",11-4000-8000,ventas@pg.com,Limpieza,60 días,True
PROV-009,NESTLÉ ARGENTINA S.A.,30-90123456-7,"Av. Gral. Paz 4645, Vicente López",11-4000-9000,info@nestle.com.ar,Alimentos,45 días,True
PROV-010,DANONE ARGENTINA S.A.,30-01234567-8,"Av. del Campo 1250, Pilar",11-4010-1000,ventas@danone.com,Lácteos,30 días,True
